SOURCE,TARGET
230439301,232403123
3876945,3880117
230325956,230347394
230550407,116946373
230439284,187275502
230646558,232435643
35047370,230415745
230436742,230436739
109004473,36712175
232432896,2880930
37232699,230439026
230542761,230542768
232022475,230578491
232432897,2880930
2880130,230437686
232383582,230687058
230602655,230659456
230458975,232453410
231994093,34300577
232378470,12949915
232349061,3740000
89273,206142478
10818605,230465210
232956031,9258792
230647320,232438397
230325937,83251669
232022494,2880930
232906420,232443618
230395504,230455108
232471961,232472201
97099605,232349061
75600737,75597534
230456323,2880930
230097992,230411683
5675217,231487035
76867066,230531606
230644286,5662056
232065277,232073363
230390558,232438397
75598034,230417489
230419189,230518409
311767,230419183
230677533,2758467
230586873,230457373
230461032,230461031
232446408,63437052
14713334,230537117
13373033,230437686
99506339,232795843
230522135,230522956
231994070,231994074
230460314,230570333
232412793,232412791
5530889,13334987
230464549,232462281
230645817,230444451
54492383,2758467
231169665,231179598
232064393,232897265
7654106,230647734
232878163,60428331
232432880,2880930
230646183,230646958
232468003,230537142
3420566,3424859
232448805,230522939
230460314,230459930
232549860,230560120
19084356,230649127
230413259,230413257
230471896,230471881
234015916,21126756
231994093,230814629
232455961,17863556
230602655,27405707
234470030,234470032
232035280,232439373
28371102,39617086
230543293,2880930
232018284,230415013
89273,232920883
232469437,232469444
232062802,14178872
232064265,2880930
231181878,50363349
232001647,230473475
87823731,80045362
230411703,230645753
230594655,232689970
5530805,10973688
46997657,230576810
230464746,232038046
230392232,230392230
76865991,230531529
230424250,3688992
230451722,2880930
232345695,62111535
232033555,97752002
232396270,230610774
2384974,230439284
230437650,232805074
38126167,232949450
232023205,183320168
14288110,230428227
3087999,5530889
230576810,230641055
232432876,2880930
232034651,232377087
231994241,231994244
71193264,20582418
230590944,21126756
232013872,28095167
232022475,114950458
230351409,230602655
71367974,231178807
230455948,232070826
231995257,232034293
230448737,67786007
230402464,230402461
230460314,3276131
28095167,311767
232072340,232353291
230347018,207801396
232064269,75600737
230405627,9367470
232432886,2880930
42094373,14678301
230432810,71373717
17387772,2717498
232457913,6172367
232038802,232038806
230437615,230518392
230590480,27279848
232953491,132189491
195225288,195239761
232038821,71384764
230472372,230472374
36412427,231570793
230543148,2880930
54732026,31500102
232053393,232468003
230544163,230544483
232435643,232435639
27451950,39854649
232472440,230526123
232469444,232469446
232024932,232024938
206214850,9258792
230354696,14942862
57739157,234472001
232016533,2880930
230455527,2880930
230548632,87844610
232923173,232431889
80045328,230543768
230519603,230519601
230400468,231993295
14938341,232040330
13805516,232040265
232920883,230537119
75605130,75604044
232916687,7991441
192827077,232029206
232472201,232472208
230390246,232891207
230417094,76866367
75601042,230445172
230350275,230602580
230424193,79340428
230966373,234442906
230716290,231487035
230527735,14827602
232431854,2758467
3197858,36566888
55763813,230537122
232582209,232072012
232382461,232383230
230411721,230459349
201542876,232448805
232348828,232036662
32673213,230456338
232949450,232431872
94562231,46997657
232712396,75604011
75607257,230543198
52393430,232431905
230448070,3925879
230651375,230651378
232035051,230438482
232402719,232447747
3160558,230544163
230457451,83251669
232458909,232470552
230531149,2881274
232024938,230470025
82945549,232900415
230541521,230541519
230455579,232923963
230639247,230537129
230513474,233097530
232003681,230427717
230748737,232927787
132189491,232441180
230411703,230523211
230594640,232669764
230455594,2880930
232891207,2785734
21126756,2880930
232447747,232449663
230399793,232895198
232895198,232895871
232070462,230455948
230453454,230531529
232007259,232007253
230392230,76627599
13648198,232448805
232437943,230630134
231175976,232456367
232008934,226715158
230354696,207801396
232065277,75600869
22128620,2880930
75600731,75597418
231995257,230521271
230455948,76865210
230529023,4855592
230530383,76866755
232073389,230550393
13238769,232067335
91416769,53637885
232012632,230452758
39854649,230687063
230649780,230559685
60428331,232472255
231128114,61292140
99506343,232412803
230445172,2881274
231993291,230400468
53204033,53204038
192827077,232040281
3877875,2868852
230539731,230539729
230642396,230530282
230548672,31313141
232022473,232022475
230457373,230457202
230453434,33499224
75604924,230530306
230530290,232033555
232015203,7550622
232473581,230670907
232431854,109004473
5529367,232369507
192827077,230451735
232450630,232450696
89273,80591334
231028852,230612807
28780347,76865975
230459322,230459327
230413259,232438397
232025998,60519306
232341448,33100392
51140227,10495992
232432890,2880930
232009699,232009703
231994244,231994248
231178812,230712278
231992328,8185148
230541992,2880930
232046855,231028852
232673937,233599198
232900415,234429052
230350275,230518287
232908843,231181128
131942180,17387772
230643077,230391411
89273,231029327
75604009,230530225
230393099,34194980
175334903,230670911
230457373,232014181
234439913,234439917
232431889,2758467
3381877,32477887
230353884,37232641
230348386,2881273
230547950,87823679
89273,230448070
232432893,2880930
75598434,230429959
230533147,230533661
76865970,230541521
10818605,19128841
232431889,89609627
232891207,212346815
230724244,230460314
230351501,230602655
230419201,232920883
230602655,43560505
226892542,61429103
75597795,76865209
53204038,53204177
231994184,231994187
230076465,212381118
230456360,2880930
232456367,232456372
230347394,230595713
230460314,230575202
3874964,232464260
232688102,233393437
81273866,81270780
4947997,4947995
87823679,230549076
232420760,2864086
230445172,76865988
232348828,232037410
231179652,232465409
4987645,5530889
232431855,2758467
34923889,232910950
232342235,232378983
232064398,80044119
230578984,2880930
28326289,14288110
232398593,183323662
230424238,230424242
230541856,230547959
230414055,208590808
231136247,3197858
230530306,2881273
232673926,232673937
230456365,80044119
11904777,230658142
232007259,230639670
54928146,48688126
230455579,230530823
230347394,22846405
230444454,232034293
7398153,2757640
230969919,231181878
231178807,3420563
204494582,3197858
230411713,230411703
234470032,54732026
230402461,32477881
79340428,32518764
230594664,232036724
230530236,230531149
230625240,232793876
232001641,230473475
89273,212356532
230532776,230533147
232345692,230456623
3907680,76867066
204494582,2880930
230451671,7654106
32482656,230402170
230530309,3907739
232908760,232443612
232396270,2821439
232404256,232895760
230436742,233243787
230353405,232401224
232012117,232012115
12949915,232074255
39617086,32477885
230459329,230459327
22251287,44290217
232382461,2893837
230406512,3165601
230401687,230401717
232035280,205393464
230339760,230594640
230531529,2880928
230670894,27008595
232400013,2880930
232431927,2758467
232359149,13908862
87823736,3910482
232367889,132189491
76866551,230541992
230472377,230472380
37231945,182448860
232349061,230643071
182456721,232010919
232403123,230641062
230649127,231174359
2772619,230414067
234441421,234441424
87823676,80045328
230460314,230569936
232014505,230461032
232359384,227325124
232447736,232447747
10973688,5530888
230453431,232398593
91787015,89536812
230333948,232012569
3424859,3445065
232443618,232444504
230439026,232823196
4947990,4947997
31760424,232112188
230531149,230455747
232431869,234470030
4996223,5529367
230424218,232895198
230670911,232473941
230390558,2787428
230400506,54492383
20183539,230519287
230594640,232034942
232818752,230677533
230458652,232925779
76867047,230541856
230405631,230405627
230339682,8815067
10818605,34381791
230543248,2880930
232629705,78559791
230473475,230473461
230539733,230539729
72324903,3329673
230644270,2880930
232020687,14938341
232431879,2758467
187182569,232010190
232033555,230530316
230430132,2880930
33972938,39854649
230348238,75603996
231994165,13327496
230347018,232012569
230543283,2880930
230336077,230594664
230423949,230423848
230459145,232549860
232038806,2880930
83251669,230669446
231993295,231995257
232033533,232035280
3857826,231180498
3688992,234431154
12456270,230525364
60428736,232007259
232432884,2880930
232689970,230935082
62111535,232356999
230659430,230659445
232013872,183319391
230468034,51816
232399133,230670911
54903661,32477885
230344692,230457373
230337461,10976787
87823631,87823739
230645817,16555074
2760789,232026318
230400468,230400467
27279848,2862997
232470471,230526123
232432867,2880930
230455943,2880930
232433797,230528723
230414067,230418124
89273,230414055
29642549,230653317
232009696,232009699
232033555,10975232
230548621,230548632
183319391,183319374
68869,230529025
217078622,58743518
232432894,2880930
230457872,230457870
232418382,9201013
3880653,230646183
230539732,230539729
89273,107068491
230645351,31730208
230414067,27917786
230458280,232925786
231181128,2713138
230645818,231994045
78559791,92083566
4947987,4947979
232006612,2880930
230333948,230602989
195239761,195229139
230530211,230642396
75604044,232068055
230569936,230571453
230413257,232907282
75600756,75597796
46972686,230464549
3899847,3877875
232805074,232377114
230468034,230468025
232450632,232450630
230402073,32482656
232672129,233627096
36177242,232431889
230659457,230659430
261102925,150817961
310492288,310492198
310433911,310433788
310159295,312202384
735881,260549093
310142687,312152648
312139190,310170133
280280061,310422606
309960456,309960445
312355300,312823031
310170132,312935457
312365829,312365865
312904783,313122106
309959965,312904011
309983267,310161125
309967598,312904783
222596525,249515508
312112483,314892478
217423004,313096473
310427035,310427033
312823963,310425089
312108418,313122358
312138506,312823047
261102925,309949285
308099887,310471926
251020866,312365829
310468658,310533023
312365844,312365829
312157804,312873687
309959969,310150567
312208971,310529088
310082668,266544652
310475820,310475826
6271519,314838117
312186221,310494217
310092126,310430361
309950453,310692942
310464959,310464867
312360719,312931467
309971484,309975382
311030996,310492288
310492338,310492339
309947475,313109735
90974076,313112561
310438855,310438853
310107935,312895662
310145858,310430095
309991129,309991416
310114209,314833118
312874955,314825960
309965782,312903558
309969298,309969223
309965785,312903950
312901971,314479343
309960770,309960762
289269312,310524764
310746963,312357279
310492353,310492376
310157980,310756388
310065960,28852285
310499230,289583950
310427033,313109998
310121734,310121741
310495354,310516724
310107935,310438835
109125434,245707260
312199020,312199031
270161775,312354313
309937959,312336406
309974683,309971484
312505312,312505314
309974683,309974674
310074271,310420397
312810381,310432092
116790571,312496118
310152205,310489742
312182205,312182209
273614566,310469426
310483032,313117241
16311674,310040005
312897315,310492320
310464862,310464860
310438836,313105511
310463346,313119227
4072793,310495041
310066495,247114712
310409490,310409492
310076316,310076314
310107938,310107935
313113574,313113579
77166213,259315355
312346254,312829115
314822161,286893176
65308027,310082668
310433240,310433239
310170647,310509951
310692942,310494226
312893930,310493425
195148867,285187519
310112588,312930804
309965757,312904370
212045030,195148867
252658074,252658065
310492353,310492347
310475715,310475725
310096051,310096041
312496118,312496374
310518396,310518368
261102925,309950193
309978153,312923746
280280061,174345059
310492374,310492370
312901971,310513771
309975241,309974683
310407082,310409490
312504251,312504262
310082668,273185450
64283268,116755276
309974676,309974683
312510012,310467001
312873864,310520604
310508423,310508418
313113308,246746559
309962094,269254876
309975403,309974683
309937943,310114209
310114209,310114210
310514752,313119227
310425095,310492198
310406925,310406921
310437454,310437452
310099277,197888960
312910309,310517073
312842426,310511482
310496817,118491773
314155513,314916655
312833997,312934754
309975382,309975521
310438836,311398965
309991808,309991814
234774665,312365821
312174161,312353409
312182209,312182212
296778481,84354860
312842426,312270684
312934754,310493435
310058865,310058869
312507678,312507689
312923746,313156241
312509353,312509358
274862320,312894754
312357279,312357002
312830053,314479342
309946878,312931467
312153237,239843052
310449487,195832170
310513657,310513651
312504680,99879079
312891878,310514776
310102841,313122358
36114266,312353051
310049647,310074271
309974683,309973726
310492212,310492198
309959969,309959754
309973726,309975382
238378954,310448124
309960792,312357691
310464201,310463952
112689221,312365829
195148867,174568110
312203066,312203087
310134497,310134501
310157980,310157975
2227014,100643310
312861419,312861182
310126535,256863833
310509951,310509952
10304380,260549108
310146175,310430095
312896823,310493428
10304380,260549105
312899264,310514105
312893930,312893986
310121383,312346254
256864113,312152366
310422575,310422573
312341429,310464201
310091872,312930804
302742245,309974683
117644263,158861483
228548214,312503304
310425095,310425091
309974670,309974683
310058860,310058865
310445617,310765814
4072793,310464201
310126532,310126535
309967322,310149891
312112743,278938354
310423618,310467546
312493825,310467001
310438838,310438836
310469429,310469426
280308414,312355300
309936340,310108194
310493433,310508550
310426674,310723951
312507674,312507678
312346593,310446154
309960762,312358058
312148678,313096465
305281309,314822130
310438478,310438475
310492349,310492374
310509951,310509946
195148867,310134497
234774665,309974683
309925359,118491773
309968498,312910309
310470020,310470019
310148436,310433527
309968498,310064515
310467848,277152496
310151535,310508423
310172555,310172550
310045970,310401436
310107918,314791778
313113583,313113579
312831431,312831436
310040316,313122358
309960768,309960762
313117241,313117846
84354860,312506248
84551831,257971415
310467001,313113045
310170133,310170119
231428130,228548214
309967322,312358321
312910309,203232166
310151848,252658065
310438868,310765151
310517107,310517090
310467001,310466993
309985201,310473910
309953133,310102845
309975382,293053617
310516515,310516511
310514776,310514774
312128882,312138506
310049647,310065488
310802538,312897315
158861483,314823802
310074807,313122358
312899259,314894350
310428714,310428711
310171747,310533200
313112553,313112561
243641969,310464959
310432097,310435032
312360719,312360355
310475721,310475715
312152366,306549757
312128785,310096051
310405702,313119227
310170133,309936497
310493433,310493422
310142687,310142682
312861419,312903568
312828410,312893930
310147781,310156817
310108194,242088315
309984522,83936226
259468429,280280061
16311674,31826293
312813857,314835655
312496118,310440101
312892023,312892019
314825960,310474440
309959965,309959754
312901974,310513657
310507873,313102274
241522889,248124114
309965785,310157975
310492339,310472147
286893176,314823178
313113310,313113308
309991808,310170465
309951364,309951075
310112336,289583950
195148867,312814192
312931451,312931453
313113310,313181641
309960200,296616470
310042090,310406925
258437818,310048958
312494011,77166213
312355300,312355313
310514105,310513803
309953133,309953123
310145860,310145858
242515951,309975382
310492337,310492353
310533023,86656117
312909619,310433240
309991803,309991808
310685279,310494231
310510008,310509981
256321535,7531715
92578835,309994223
16311674,310147165
312882912,310492212
242854087,310433778
310110716,310511480
310045716,313122358
309956894,309956890
310170670,250540627
312931453,314833118
310432092,310432090
310432098,310432097
310428711,313110528
310401436,310401434
310118503,310464959
314825240,242854087
86519308,309983267
310463614,313105504
27713316,312935457
309960458,309960792
312831436,310494226
310469149,310469145
309930956,314780111
310087642,310438855
309962094,309962091
310148114,310147165
310514657,313119227
312182684,312182796
310439863,310765814
310171747,310468664
309927727,310065960
309927449,310074271
310099924,313487929
309950414,312365829
310126273,310469149
195148867,259468429
310469426,256774164
312504678,312504680
312892023,311041416
310470021,310470019
195148867,314846561
313112561,313112565
261102925,233071249
312365649,312365821
259468429,310423712
112689221,314420751
312152966,312152984
312208971,310483447
310121741,312811120
261394222,308099887
310509967,310509966
252658065,249871565
312904370,313121136
310446154,310446146
312138506,312139190
71224612,313113308
309974683,312365829
310103115,274955859
312935457,310467553
312182796,312182803
248124114,312182205
310513726,313110024
314822130,310446613
310093072,310438855
309975058,309975382
312508712,312508720
195832170,239100805
312896976,310493433
302742245,309975382
310110716,313105744
312182471,312182684
36114266,310147165
313113579,313113584
313122358,312709942
310428711,310509970
312817077,310432092
257971415,239626431
309974676,309975382
310159409,312830053
310425089,310425088
310492288,310514955
276540562,310488591
309975242,309974683
312152984,310166977
83936226,78270765
272947491,310533023
310447507,238378954
245707260,312493732
310091673,314791778
309960795,266427481
275759234,312934754
310494243,310513726
310494997,313119227
16311674,312358048
86528769,66558323
309938432,310067990
310426684,310426674
310438475,310758310
310509981,63646256
312332224,313122358
310515887,313119227
310148440,310148436
312354313,251978740
309983267,309983271
312820136,314846561
261102925,309927741
310495345,310495041
309993983,92578835
309939373,314791778
247114712,310419869
261102925,310132623
310475830,313119227
310160391,257971415
309937924,309946878
310121383,310121381
310489141,272556463
310457660,313106017
309971485,312365829
310517393,310517387
310146179,310146175
112821849,309974683
309990463,64283268
309924055,312923717
312894754,304722219
310470019,310470024
239843052,309939230
312930804,312931029
312817060,310432092
978934,310495041
313097556,313122358
310103375,313122358
310520604,310520421
313986756,310437454
253790510,86528769
310093670,312873673
112821850,309974683
310447534,313102274
309974683,312365810
296713705,309963007
310406925,310438868
312508711,312508712
312509358,211155347
310457656,310457660
45984694,310076316
310159295,310159294
309938799,312355300
152514806,312504251
312817060,292592373
312505314,312505316
309975382,251020866
112821850,312365829
310148717,310148715
312904836,313521604
95393333,310489141
310102606,243450424
280280061,312709942
309974683,309975382
309974683,242515951
309930963,118491773
309959486,309974683
312365649,312365829
312182471,312823031
309959962,312901974
238715066,312182471
310085639,310425095
309956890,307974286
314420751,312357279
310492374,310492328
309975403,309975382
309971228,309975382
21638706,222596525
234774665,309975382
90974076,163838500
309956890,270463681
312353409,312826285
228482016,314825240
309949613,312803836
314420751,313168990
310704553,312893930
309959962,309959754
310160391,312809509
310102835,310464959
312182209,310469166
309938432,309938430
310509967,310438254
309974683,112688912
112821851,309974683
310495348,310495041
309971485,309975382
314916647,314916655
309974683,309971485
310172555,310170660
310098070,292239168
310492339,310492335
287631193,310509981
310432095,310509967
309991416,309991419
310488588,276540562
113546616,246140564
244713754,54819736
245369469,245241272
245406833,245406829
244713957,244714082
106934180,24859171
245206985,181802225
245484434,202482931
244760276,245988067
160533672,244659777
245506130,246140269
245811294,246091598
245217823,245217813
245213383,245214422
43525749,245288893
244760276,244761351
246146258,246147977
245239163,245245206
244760276,245990437
246181350,246391453
244278907,246188195
245252458,246145015
244660439,244688623
244659893,245939461
245471355,246117789
144884370,105937445
245425043,245424768
245427811,245427808
244285348,244285362
199146176,245741529
244301081,244716145
245425067,246408717
34119191,246140269
219662483,245150586
81962984,246140564
245469814,203606010
245171020,245171017
246115239,245967213
244792161,244792166
245499490,245499744
244358913,244795213
244659790,244693256
245153554,245153061
244726602,244726624
244306653,245424172
244688160,244688153
199271269,215102406
244745788,244760276
245246925,246142590
245240999,245240995
245428571,246383170
234760473,245724960
245775280,245775282
244749329,245436597
245200977,246144577
245154424,245154480
245407744,177692478
245867227,245867233
246038097,246038529
245153538,245153536
245267719,246172022
244659790,141785740
245439822,246042604
245421429,245421425
244726602,244748297
54807096,245502825
194071691,213317337
245507046,246140564
244743580,244749329
117744563,246140269
244739465,245437574
171360540,246159342
245745396,245745685
246107132,246147651
245156999,245157002
245163062,245163059
75647082,245166423
245768523,245768529
246112296,202485124
245178167,245178122
246118466,246030822
245156990,245156996
246371229,246460190
245731295,86332534
244732267,245270528
38099555,246140564
245249453,246403720
244746568,244759971
244362209,52082339
105937509,100327411
245736992,245737186
244681057,202971568
245735156,245735166
150895106,10198226
101771152,16002024
245240971,245240977
245390000,246140564
245249447,246385582
245411340,245411345
244796050,244796042
61269394,246140269
43287079,34860995
246042413,245439822
10198226,246129196
245759866,245759878
245377598,245256587
244770345,245231988
230642682,246143335
245140495,245140493
245339063,245385043
245425316,245425312
54824202,245243354
246107846,246377888
96654801,245421439
245267484,245267480
241396533,245299811
244297061,246140564
244279302,213317337
245270528,245280159
244738146,244744193
244744193,245997717
245768597,245768809
128117820,246096802
244712021,244712026
245252074,245795488
33973914,75647082
244374723,244374728
245873485,246140564
244726602,244726614
244659893,245721938
246039659,232159075
244735142,244740454
244279650,245721929
36287858,245352697
194950098,244739465
245736227,245736242
194950106,244759971
245163062,246156734
244726624,244739465
76987699,246129196
245171017,246088773
245403070,245722299
244690441,245786136
245379412,245433833
244371366,246140564
244726602,244738146
244796042,244796058
244281864,246140269
245725074,245725409
244725705,244726602
244749329,244750417
100327411,245232733
244280596,244280886
245751254,222813026
244749329,246178763
244372042,244372309
46286738,244363200
250210121,250212207
245734248,245734254
250212618,250212622
171903142,202482975
246144577,246144596
244798312,244798691
245427899,246147973
244795949,244796042
246145015,246145441
246172022,246172230
245756101,245756367
106158039,87833888
244659858,203003946
244740701,244742043
245832049,246819590
46525681,246140269
194950107,245270528
244359221,244359401
245850750,246413850
244306283,245477136
244758652,244759971
245158169,246188243
245718389,188186211
244304015,245202950
203003972,54633824
245860415,246140564
244758652,244760276
199706994,244792161
246153857,246400402
245772228,245772342
232159075,204934913
245418630,246121771
181078819,245771419
244666018,244666233
244686982,246140269
245429240,245429244
244713485,244713490
245916350,246140269
76987699,118734612
244691802,245484434
56452216,244760276
245439833,246045495
244726602,245997717
245867233,245867240
246406768,54634127
245768593,245768597
245824995,27795549
245155570,108784712
244759971,245282709
245248601,245430591
244301965,244794739
33329264,13071720
245745685,245745697
245424521,246410521
245154480,245155139
61126162,245965749
244681499,203606077
245252060,116831496
244716116,245385043
245507023,245430016
31501983,245765215
246371229,245722710
186126686,245867233
245329164,245433288
244745353,244749329
246381809,246421641
245471351,245471355
245240999,245287329
244795236,244795235
246092602,246092828
245153061,245153055
245156996,245156999
245343387,244682864
244732252,244757147
202971568,244716253
245750862,245751254
155071447,245418630
244311438,245479157
246350735,246350738
54634127,246424855
246043775,246043778
244302162,109727611
245176364,245411340
245249447,245249453
244726602,244734831
244757606,244760276
244750417,244759971
245241279,245241568
244662708,245176364
245476218,245476220
196214476,244716151
244301981,54640343
244299645,245341775
9667606,244688630
245777572,245777660
244695061,244695059
168628008,244685942
245480382,245480394
41914082,207183378
245939461,184373514
245157056,245157060
244760276,245993439
245756367,245756435
245270528,245270504
76987699,246131003
245155558,245155570
245411345,245788008
245772400,245772406
110778787,105937460
244760276,244766033
203605797,245469252
245439822,245439819
245304330,246140564
245341775,246008255
245416332,246392541
97783237,202715233
244280886,244281177
245433833,246207946
244280589,220420868
144884370,86515213
244689605,245243361
245270528,245270802
244726602,244728565
246037939,246095991
245214444,245214824
244733605,244760276
245244706,244677148
86329165,245772362
245244706,245244704
245719204,245719211
245180131,246172230
245967999,246172340
246059485,235786671
245409290,245409288
244740454,244740701
244298094,245428141
245503152,203605937
244792161,245208881
244294932,244695061
110825493,246146590
245203711,246113233
10198226,148443221
245771276,245771283
245499744,203606829
245316602,246367694
245734153,245734248
50326041,246140564
244755126,244757147
244760276,245270528
246051540,245441233
244327217,245251803
203605937,245503569
52270540,245441229
245153538,245261899
245875931,246140269
245427899,245427895
245214824,245214842
39443180,246140564
244373194,245425049
246016148,246383774
245761441,245761446
245270528,51593101
244732267,244760276
244363200,244363309
245241567,245241279
244726602,194950104
244677467,244796449
245427811,245426432
245469434,245469646
245243361,245244793
244364028,245495462
244315848,244695061
21937639,246188195
245336563,245336566
244377432,244690441
245202964,246106212
245198509,245213383
245144856,246348208
245734811,245735156
245316602,245316851
105937446,246140269
230656327,246177303
246383401,250210121
246117781,245967999
244792179,244792188
244743580,244744193
246245431,250227598
245440148,245439837
244760258,245270528
245465090,245471733
245498506,245498509
245386996,54645172
245460186,246103525
75647082,76365066
118395683,250214594
244659522,125481560
245772353,86329165
203609815,244375040
31417416,244712021
52082339,244362510
244366771,246140269
244726602,244732267
245336563,245241734
244758652,245270528
246092602,246353135
245198515,245202970
244279328,244695061
35178102,128117820
245729627,245729630
244306658,245922235
250212515,247299367
245717497,245717500
244748315,244749329
244301348,245343387
160533672,244684979
244712073,244712128
245469646,245469655
9667606,246161069
250227321,250227323
246074171,245425316
246147977,245425316
244315599,244695061
245870916,222044088
245502568,245426412
54824203,245967999
246379124,250213391
245252074,245418907
246048700,202597672
24178799,245241279
246308155,246421641
245766231,245766233
245479946,245480382
61269394,76741758
245151676,245724919
245831247,245795520
244285362,210102888
245476799,245477136
244794752,244794760
244749329,244751668
245725050,245725052
244726602,244750417
245158169,245158489
245725409,245725657
244661627,213317337
244691897,245471355
245424522,245424521
245531293,246140564
246060487,246060489
245372179,246156772
245382922,183925718
36213926,104943787
245152060,246416747
246373430,246373431
244744237,244749329
246391928,246419113
244694276,246153857
245392267,54807096
244755126,245270528
244798698,244798704
245178122,245223868
245766498,245766507
245245206,245245213
245407745,245407744
245249453,229022948
244713654,244713754
194950105,244749329
245737215,245737225
245344771,245344776
244679684,203605937
